matrizCreada,idMatriz,hold,mult,nProces,working,procesT,nFinish,nFail
1,0,1,0,0,0,5,0,0
0,0,0,1,2,1,5,0,0
0,0,0,1,2,0,5,1,0
1,2,1,0,0,0,5,1,0
1,4,1,0,0,0,5,1,0
1,6,1,0,0,0,5,1,0
1,8,1,0,0,0,5,1,0
1,10,1,0,0,0,5,1,0
1,12,1,0,0,0,5,1,0
1,14,1,0,0,0,5,1,0
1,16,1,0,0,0,5,1,0
1,18,1,0,0,0,5,1,0
1,20,1,0,0,0,5,1,0
1,22,1,0,0,0,5,1,0
1,24,1,0,0,0,5,1,0
1,26,1,0,0,0,5,1,0
1,28,1,0,0,0,5,1,0
1,30,1,0,0,0,5,1,0
1,32,1,0,0,0,5,1,0
1,34,1,0,0,0,5,1,0
1,36,1,0,0,0,5,1,0
1,38,1,0,0,0,5,1,0
1,40,1,0,0,0,5,1,0
1,42,1,0,0,0,5,1,0
1,44,1,0,0,0,5,1,0
1,46,1,0,0,0,5,1,0
1,48,1,0,0,0,5,1,0
1,50,1,0,0,0,5,1,0
1,52,1,0,0,0,5,1,0
1,54,1,0,0,0,5,1,0
1,56,1,0,0,0,5,1,0
1,58,1,0,0,0,5,1,0
1,60,1,0,0,0,5,1,0
1,62,1,0,0,0,5,1,0
1,64,1,0,0,0,5,1,0
1,66,1,0,0,0,5,1,0
1,68,1,0,0,0,5,1,0
1,70,1,0,0,0,5,1,0
1,72,1,0,0,0,5,1,0
1,74,1,0,0,0,5,1,0
1,76,1,0,0,0,5,1,0
1,78,1,0,0,0,5,1,0
1,80,1,0,0,0,5,1,0
1,82,1,0,0,0,5,1,0
1,84,1,0,0,0,5,1,0
1,86,1,0,0,0,5,1,0
1,88,1,0,0,0,5,1,0
1,90,1,0,0,0,5,1,0
1,92,1,0,0,0,5,1,0
1,94,1,0,0,0,5,1,0
1,96,1,0,0,0,5,1,0
1,98,1,0,0,0,5,1,0
1,0,1,0,0,0,5,1,0
0,2,0,1,4,1,5,1,0
0,2,0,1,4,0,5,2,0
0,4,0,1,4,1,5,2,1
0,4,0,1,4,3,5,2,1
0,6,0,1,4,1,5,2,1
0,6,0,1,4,0,5,3,1
0,8,0,1,4,1,5,3,1
0,8,0,1,4,0,5,4,1
0,10,0,1,1,1,5,4,1
0,10,0,1,1,0,5,5,1
0,12,0,1,1,1,5,5,2
0,12,0,1,1,3,5,5,2
0,14,0,1,3,1,5,5,2
0,14,0,1,3,0,5,6,2
0,16,0,1,0,1,5,6,3
0,16,0,1,0,3,5,6,3
0,18,0,1,0,1,5,6,3
0,18,0,1,0,0,5,7,3
0,20,0,1,0,1,5,7,4
0,20,0,1,0,3,5,7,4
0,22,0,1,1,1,5,7,4
0,22,0,1,1,0,5,8,4
0,24,0,1,3,1,5,8,4
0,24,0,1,3,0,5,9,4
0,26,0,1,3,1,5,9,4
0,26,0,1,3,0,5,10,4
0,28,0,1,3,1,5,10,5
0,28,0,1,3,3,5,10,5
0,30,0,1,3,1,5,10,5
0,30,0,1,3,0,5,11,5
0,32,0,1,3,1,5,11,6
0,32,0,1,3,2,5,11,6
0,34,0,1,2,1,5,11,7
0,34,0,1,2,2,5,11,7
1,2,1,0,0,0,5,11,7
1,4,1,0,0,0,5,11,7
1,6,1,0,0,0,5,11,7
1,8,1,0,0,0,5,11,7
1,10,1,0,0,0,5,11,7
1,12,1,0,0,0,5,11,7
1,14,1,0,0,0,5,11,7
1,16,1,0,0,0,5,11,7
1,18,1,0,0,0,5,11,7
1,20,1,0,0,0,5,11,7
1,22,1,0,0,0,5,11,7
1,24,1,0,0,0,5,11,7
1,26,1,0,0,0,5,11,7
1,28,1,0,0,0,5,11,7
1,30,1,0,0,0,5,11,7
1,32,1,0,0,0,5,11,7
1,34,1,0,0,0,5,11,7
0,36,0,1,4,1,5,11,7
0,36,0,1,4,0,5,12,7
1,36,1,0,0,0,5,12,7
0,38,0,1,0,1,5,12,8
0,38,0,1,0,3,5,12,8
0,40,0,1,0,1,5,12,8
0,40,0,1,0,0,5,13,8
0,42,0,1,1,1,5,13,9
0,42,0,1,1,3,5,13,9
0,44,0,1,0,1,5,13,10
0,44,0,1,0,3,5,13,10
1,38,1,0,0,0,5,13,10
1,40,1,0,0,0,5,13,10
0,46,0,1,2,1,5,13,11
0,46,0,1,2,3,5,13,11
0,48,0,1,3,1,5,13,12
0,48,0,1,3,3,5,13,12
0,50,0,1,3,1,5,13,12
0,50,0,1,3,0,5,14,12
0,52,0,1,2,1,5,14,13
0,52,0,1,2,3,5,14,13
1,42,1,0,0,0,5,14,13
0,54,0,1,3,1,5,14,13
0,54,0,1,3,0,5,15,13
1,44,1,0,0,0,5,15,13
1,46,1,0,0,0,5,15,13
1,48,1,0,0,0,5,15,13
0,56,0,1,3,1,5,15,13
0,56,0,1,3,0,5,16,13
1,50,1,0,0,0,5,16,13
1,52,1,0,0,0,5,16,13
1,54,1,0,0,0,5,16,13
1,56,1,0,0,0,5,16,13
0,58,0,1,4,1,5,16,14
0,58,0,1,4,3,5,16,14
1,58,1,0,0,0,5,16,14
0,60,0,1,1,1,5,16,14
0,60,0,1,1,0,5,17,14
1,60,1,0,0,0,5,17,14
0,62,0,1,0,1,5,17,15
0,62,0,1,0,3,5,17,15
1,62,1,0,0,0,5,17,15
